cer	t͡ʃ e r
personaje	p e r s o n a ʒ e
necăjiși	n e k ə ʒ i ʃʲ
mulțumești	m u l t s u m e ʃ tʲ
interacțiuni	i n t e r a k t s i u nʲ
acide	a t͡ʃ i d e
fluture	f l u t u r e
clădesc	k l ə d e s k
îmbunătățiților	ɨ m b u n ə t ə t͡s i t͡s i l o r
răpirăm	r ə p i r ə m
opri	o p r i
făcui	f ə k u j
somasem	s o m a s e m
clădiți	k l ə d i t͡sʲ
buna	b u n a
italiancă	i t a l i a n k ə
necăjiră	n e k ə ʒ i r ə
boș	b o ʃ
gândit	ɡ ɨ n d i t
mulțumitului	m u l t͡s u m i t u l u j
cenzuraserăți	t͡ʃ e n z u r a s e r ə t sʲ
dezbrăcând	d e z b r ə k ɨ n d
abandonează	a b a n d o n j a z ə
porniserăți	p o r n i s e r ə t sʲ
baltic	b a l t i k
faptelor	f a p t e l o r
înțeleg	ɨ n t͡s e l e ɡ
fututului	f u t u t u l u j
stele	s t e l e
lasciv	l a s t͡ʃ i v
soli	s o lʲ
somăm	s o m ə m
numiși	n u m i ʃʲ
formați	f o r m a t͡sʲ
niciodată	n i t͡ʃ o d a t ə
avid	a v i d
analizau	a n a l i z a w
pricolici	p r i k o l i t͡ʃʲ
suntem	s u n t e m
întărirăți	ɨ n t ə r i r ə t sʲ
șantajarăm	ʃ a n t a ʒ a r ə m
clădiră	k l ə d i r ə
apocalipse	a p o k a l i p s e
necăjească	n e k ə ʒ j a s k ə
zonelor	z o n e l o r
pulosul	p u l o s u l
văzând	v ə z ɨ n d
coreei	k o r eː j
sugând	s u ɡ ɨ n d
bărbaților	b ə r b a t͡s i l o r
delimitează	d e l i m i t j a z ə
șoptiră	ʃ o p t i r ə
pretutindenea	p r e t u t i n d e nʲ æ
pregătim	p r e ɡ ə t i m
ejaculai	e ʒ a k u l a j
înzestrași	ɨ n z e s t r a ʃʲ
deranjeze	d e r a n ʒ e z e
penar	p e n a r
mișto	m i ʃ t o
răpite	r ə p i t e
deliruri	d e l i r u rʲ
genunchi	d ʒ e n u n kʲ
creezi	k r e e zʲ
macabri	m a k a b r i
nopți	n o p t͡sʲ
necăjeai	n e k ə ʒ j a j
penisurilor	p e n i s u r i l o r
vampir	v a m p i r
hypnos	h i p n o s
crăciun	k ɾ ə t͡ʃ u n
sexy	s e k s i
specificitate	s p e t͡ʃ i f i t͡ʃ i t a t e
supt	s u p t
spovedit	s p o v e d i t
sonată	s o n a t ə
mulțumitul	m u l t͡s u m i t u
tați	t a t sʲ
slovenă	s l o v e n ə
frecași	f r e k a ʃʲ
urinasem	u r i n a s e m
potabile	p o t a b i l e
spermelor	s p e r m e l o r
sângerat	s ɨ n d͡ʒ e r a t
neamț	n e̯ a m t s
frecat	f r e k a t
norului	n o r u l u j
năluceați	n ə l u t ʃ j a t sʲ
cururilor	k u r u r i l o r
regina	r e d͡ʒ i n a
contrazis	k o n t r a z i s
stimula	s t i m u l a
opriră	o p r i r ə
somară	s o m a r ə
perfecteze	p e r f e k t e z e
mobil	m o b i l
citisem	t ʃ i t i s e m
fata	f a t a
dușmănitul	d u ʃ m ə n i t u l
preejaculator	p r e e ʒ a k u l a t o r
sumer	s u m e ɾ
cană	k a n ə
chestii	k e s t iː
primeai	p r i m j a j
umani	u m a nʲ
vale	v a l e
palmă	p a l m ə
suferi	s u f e r i
păun	p ə u n
potabili	p o t a b i lʲ
sacra	s a k r a
perfectaserăm	p e r f e k t a s e r ə m
atrocitatea	a t r o t͡ʃ i t a t e̯ a
suferi	s u f e rʲ
moscova	m o s k o v a
întări	ɨ n t ə r i
cenzurați	t͡ʃ e n z u r a t͡sʲ
mărturisiserăm	m ə r t u r i s i s e r ə m
mari	m a rʲ
asurzitei	a s u r z i t e j
spovediră	s p o v e d i r ə
proci	p ɾ o t͡ʃʲ
boșul	b o ʃ u
străluci	s t r ə l u t ʃ i
negre	n e ɡ r e
africa	a f r i k a
pederaști	p e d e r a ʃ tʲ
formatele	f o r m a t e l e
întristarăm	ɨ n t r i s t a r ə m
limiteze	l i m i t e z e
numim	n u m i m
zonă	z o n ə
or	o r
pulosul	p u l o s u
muista	m u i s t a
porneau	p o r n j a w
acioaie	a t ʃ i w a j e
frumuseților	f r u m u s e t s i l o r
viețile	v j e t s i l e
electroconductibilitate	e l e k t r o k o n d u k t i b i l i t a t e
albanezi	a l b a n e zʲ
aceiași	a t͡ʃ e j a ʃʲ
înțeles	ɨ n t s e l e s
formează	f o r m j a z ə
frecă	f r e k ə
sedu	s e d u
sfârși	s f ɨ r ʃ i
îmbunătățești	ɨ m b u n ə t ə t s e ʃ tʲ
vorbisem	v o r b i s e m
modifica	m o d i f i k a
sfârșește	s f ɨ r ʃ e ʃ t e
protejaserăți	p r o t e ʒ a s e r ə t͡sʲ
lipsii	l i p s iː
accelerarăm	a k t͡ʃ e l e r a r ə m
autoritate	a u t o r i t a t e
simple	s i m p l e
câștigă	k ɨ ʃ t i ɡ ə
oferi	o f e rʲ
citite	t͡ʃ i t i t e
ejaculară	e ʒ a k u l a r ə
norul	n o r u
păros	p ə r o s
culturilor	k u l t u r i l o r
zăcea	z ə t ʃ j æ
radu	r a d u
gravitau	ɡ r a v i t a w
excavăm	e k s k a v ə m
folosiții	f o l o s i t͡s iː
siberia	s i b e r i a
iubească	j u b e̯ a s k ə
spovedirăm	s p o v e d i r ə m
grăbeau	ɡ r ə b j a w
înzestrăm	ɨ n z e s t r ə m
șantajata	ʃ a n t a ʒ a t a
masculine	m a s k u l i n e
opreai	o p r j a j
spectru	s p e k t r u
limitarăți	l i m i t a r ə t sʲ
somaserăți	s o m a s e r ə t sʲ
plictisiți	p l i k t i s i t͡sʲ
prezervative	p r e z e r v a t i v e
evlavioasele	e v l a v i o̯ a s e l e
pilotasem	p i l o t a a s e m
răstigni	r ə s t i ɡ n i
tatăl	t a t ə l
creași	k r e a ʃʲ
stimulat	s t i m u l a t
graviteze	ɡ r a v i t e z e
mușca	m u ʃ k a
plăcea	p l ə t͡ʃ e̯ a
vampiră	v a m p i r ə
perfectarăți	p e r f e k t a r ə t sʲ
orientare	o r i e n t a r e
parca	p a r k a
urinează	u r i n j a z ə
masturbatele	m a s t u r b a t e l e
lipsea	l i p s j a
adjective	a d ʒ e k t i v e
coiot	k o j o t
șoptiserăm	ʃ o p t i s e r ə m
erecție	ɛ r ɛ k t s i j ɛ
scrotali	s k r o t a lʲ
prieteni	p r i e t e nʲ
plictisitele	p l i k t i s i t e l e
opriserăți	o p r i s e r ə t sʲ
șantajeze	ʃ a n t a ʒ e z e
dincolo	d i n k o l o
sacre	s a k r e
mila	m i l a
latină	l a t i n ə
șopteau	ʃ o p t j a w
evlaviosul	e v l a v i o s u l
gânduri	ɡ ɨ n d u rʲ
dezgust	d e z ɡ u s t
ape	a p e
masturbate	m a s t u r b a t e
protejarăm	p r o t e ʒ a r ə m
opritul	o p r i t u
gândise	ɡ ɨ n d i s e
fumai	f u m a j
fețele	f e t s e l e
tentăm	t e n t ə m
abandonam	a b a n d o n a m
tatuez	t a t u e z
slovac	s l o v a k
obosit	o b o s i t
copiilor	k o p i j l o r
copiii	k o p i j i
înzestrează	ɨ n z e s t r j a z ə
observație	o b s e ɾ v a t͡s i e
excavaserăm	e k s k a v a s e r ə m
stăpân	s t ə p ɨ n
pungi	p u n d͡ʒʲ
albanez	a l b a n e z
către	k ə t ɾ e
regi	r e d͡ʒʲ
fel	f e l
mâine	m ɨ j n e
nuia	n u j a
sexe	s e k s e
fututul	f u t u t u
labă	l a b ə
dunăre	d u n ə r e
șantajistă	ʃ a n t a ʒ i s t ə
catalani	k a t a l a nʲ
fumat	f u m a t
marijuana	m a r i h w a n a
distraserăm	d i s t r a s e r ə m
capabilitate	c a p a b i l i t a t e
sângerai	s ɨ n d͡ʒ e r a j
soare	s o̯ a r e
cuvânt	k u v ɨ n t
sângerase	s ɨ n d͡ʒ e r a s e
sloveni	s l o v e nʲ
cenzurezi	t͡ʃ e n z u r e zʲ
sodomizează	s o d o m i zʲ a z ə
tatuezi	t a t u e zʲ
cosmin	k o s m i n
perineelor	p e r i n eː l o r
vampira	v a m p i r a
afix	a f i k s
lucru	l u k r u
frecarăți	f r e k a r ə t͡sʲ
danez	d a n e z
mulțumiseră	m u l t s u m i s e r ə
îmbunătățește	ɨ m b u n ə t ə t s e ʃ t e
torturaserăți	t o r t u r a s e r ə t sʲ
parazit	p a r a z i t
plictisesc	p l i k t i s e s k
juisez	ʒ u i s e z
folosiseși	f o l o s i s e ʃʲ
tentează	t e n t j a z ə
fută	f u t ə
pregătiră	p r e ɡ ə t i r ə
sfârșită	s f ɨ r ʃ i t ə
asexual	a s e k s u a l
funcționez	f u n k t͡s i o n e z
copleșitorul	k o p l e ʃ i t o r u l
protejarăți	p r o t e ʒ a r ə t͡sʲ
analizez	a n a l i z e z
oficial	o f i t ʃ i a l
anihila	a n i h i l a
ironie	i r o n j e
căcat	k ə k a t
fumasem	f u m a s e m
buci	b u t ʃʲ
românescului	r o m ɨ n e s k u l u j
răpită	r ə p i t ə
lipsește	l i p s e ʃ t e
persoană	p e r s o̯ a n ə
porniră	p o r n i r ə
place	p l a t͡ʃ e
creat	k r e a t
sărac	s ə r a k
aproape	a p r o̯ a p e
orientări	o r i e n t ə rʲ
formase	f o r m a s e
săruta	s ə r u t a
obrăznicie	o b r ə z n i t ʃ i e
perfecta	p e r f e k t a
veșted	v e ʃ t e d
sângerez	s ɨ n d͡ʒ e r e z
lipsite	l i p s i t e
analizam	a n a l i z a m
iubi	j u b i
albulescu	a l b u l e s k u
soarelui	s o̯ a r e l u j
creau	k r e a w
tentanți	t e n t a n t͡sʲ
acasă	a k a s ə
pregătirăm	p r e ɡ ə t i r ə m
asurzitul	a s u r z i t u
vezi	v e zʲ
sodomizaserăm	s o d o m i z a s e r ə m
spovedeați	s p o v e d j a t sʲ
citiții	t͡ʃ i t i t͡s iː
sfârșim	s f ɨ r ʃ i m
acestui	a t͡ʃ e s t u j
frontieră	f r o n t i e r ə
mulțumita	m u l t͡s u m i t a
necăjise	n e k ə ʒ i s e
ataca	a t a k a
sfârșiseră	s f ɨ r ʃ i s e r ə
călătorirăm	k ə l ə t o r i r ə m
pun	p u n
sloven	s l o v e n
furăm	f u r ə m
asta	a s t a
folosita	f o l o s i t a
beijing	b e j ʒ i ŋ
ejaculase	e ʒ a k u l a s e
macabrele	m a k a b r e l e
formații	f o r m a t͡s iː
șantajași	ʃ a n t a ʒ a ʃʲ
nude	n u d e
deranjam	d e r a n ʒ a m
pedeapsă	p e dʲ æ p s ə
coleg	k o l e ɡ
deranjată	d e r a n ʒ a t ə
grăbeați	ɡ r ə b j a t sʲ
fumarăm	f u m a r ə m
foloseau	f o l o s j a w
iubea	j u bʲ æ
asturian	a s t u r i a n
câștigăm	k ɨ ʃ t i ɡ ə m
șoptii	ʃ o p t iː
farfurie	f a ɾ f u ɾ i e
sclav	s k l a v
anatemele	a n a t e m e l e
suedez	s u e d e z
deștept	d e ʃ t e p t
omniprezentă	o m n i p r e z e n t ə
șantajaserăm	ʃ a n t a ʒ a s e r ə m
fusei	f u s e j
introduce	i n t r o d u t͡ʃ e
avansa	a v a n s a
somez	s o m e z
cadavrul	k a d a v r u l
dimineților	d i m i n e t s i l o r
funcționa	f u n k t͡s i o n a
pornografiei	p o r n o ɡ r a f i e j
formaților	f o r m a t͡s i l o r
bulgară	b u l ɡ a r ə
felație	f e l a t s i e
masturbăm	m a s t u r b ə m
lipsiseră	l i p s i s e r ə
șantaje	ʃ a n t a ʒ e
deranjezi	d e r a n ʒ e zʲ
masturbeze	m a s t u r b e z e
funcționași	f u n k t͡s i o n a ʃʲ
acoperi	a k o p e r i
homosexualele	h o m o s e k s u a l e l e
deranjate	d e r a n ʒ a t e
demoni	d e m o nʲ
frecați	f r e k a t͡sʲ
masturbatul	m a s t u r b a t u
soartă	s w a r t ə
întăreai	ɨ n t ə r j a j
mulțumitelor	m u l t͡s u m i t e l o r
masiv	m a s i v
limitaseși	l i m i t a s e ʃʲ
futuților	f u t u t͡s i l o r
apocalipsele	a p o k a l i p s e l e
torturarăm	t o r t u r a r ə m
mulțumit	m u l t s u m i t
numita	n u m i t a
întâlnirăți	ɨ n t ɨ l n i r ə t sʲ
delirul	d e l i r u l
acesta	a t͡ʃ e s t a
făcu	f ə k u
nimănui	n i m ə n u j
țara	t s a r a
secvență	s e k v e n t s ə
spoveditelor	s p o v e d i t e l o r
ejaculaserăm	e ʒ a k u l a s e r ə m
dușmănise	d u ʃ m ə n i s e
pornograficul	p o r n o ɡ r a f i k u l
lipsisem	l i p s i s e m
familie	f a m i l i e
ubicui	u b i k u j
același	a t͡ʃ e l a ʃʲ
oprirăți	o p r i r ə t sʲ
mulțumise	m u l t s u m i s e
hamace	h a m a t͡ʃ e
astruca	a s t r u k a
transnistria	t r a n s n i s t r i a
dumneavoastră	d u m n e̯ a v o̯ a s t r ə
gândirăți	ɡ ɨ n d i r ə t sʲ
delirasem	d e l i r a s e m
șantajatului	ʃ a n t a ʒ a t u l u j
sfârșesc	s f ɨ r ʃ e s k
zăpadă	z ə p a d ə
azerbaidjan	a z e r b a j d͡ʒ a n
juisezi	ʒ u i s e zʲ
omniprezentul	o m n i p r e z e n t u
vin	v i n
cotidian	k o t i d i a n
asurzi	a s u r z i
dezechilibru	d e z e k i l i b r u
americance	a m e ɾ i k a n t͡ʃ e
caldarâm	k a l d a r ɨ m
călătorirăți	k ə l ə t o r i r ə t sʲ
ceva	t͡ʃ e v a
înzestrau	ɨ n z e s t r a w
deranjând	d e r a n ʒ ɨ n d
plictisita	p l i k t i s i t a
perfectau	p e r f e k t a w
nălucitele	n ə l u t͡ʃ i t e l e
numiserăm	n u m i s e r ə m
generație	d͡ʒ e n e r a t͡s i e
nuda	n u d a
pregătitelor	p r e ɡ ə t i t e l o r
cenzureze	t͡ʃ e n z u r e z e
abia	a b j a
întâlnisem	ɨ n t ɨ l n i s e m
agăța	a ɡ ə t͡s a
năluciții	n ə l u t͡ʃ i t͡s iː
întăritelor	ɨ n t ə r i t e l o r
mici	m i t͡ʃʲ
analizaserăți	a n a l i z a s e r ə t sʲ
plictisiților	p l i k t i s i t͡s i l o r
florin	f l o r i n
crezut	c r e z u t
grăbita	ɡ r ə b i t a
întăresc	ɨ n t ə r e s k
răpitului	r ə p i t u l u j
excavați	e k s k a v a t͡sʲ
fututul	f u t u t u l
penisuri	p e n i s u rʲ
întâlniseși	ɨ n t ɨ l n i s e ʃʲ
lume	l u m e
ataraxia	a t a r a k s i a
anatemă	a n a t e m ə
pioni	p i o nʲ
creând	k r e ɨ n d
deranjau	d e r a n ʒ a w
primiserăm	p r i m i s e r ə m
atrocităților	a t r o t͡ʃ i t ə t͡s i l o r
exemplelor	e ɡ z e m p l e l o r
spovedeai	s p o v e d j a j
linge	l i n d ʒ e
explicare	e k s p l i k a r e
gratis	ɡ r a t i s
ubicuitatea	u b i k u i t a t e̯ a
oprita	o p r i t a
ajuns	a ʒ u n s
frecasem	f r e k a s e m
cocoș	k o k o ʃ
curve	k u r v e
găsi	ɡ ə s i
cumnați	k u m n a t͡sʲ
fumați	f u m a t͡sʲ
pilotam	p i l o t a a m
botezuri	b o t e z u rʲ
româneasca	r o m ɨ n e̯ a s k a
discret	d i s k r e t
năluciși	n ə l u t ʃ i ʃʲ
futută	f u t u t ə
distră	d i s t r ə
disponibil	d i s p o n i b i l
alcool	a l k o o l
necăjeau	n e k ə ʒ j a w
accelerând	a k t͡ʃ e l e r ɨ n d
nominali	n o m i n a lʲ
îmbunătățeau	ɨ m b u n ə t ə t s j a w
orientași	o r i e n t a ʃʲ
infinitate	i n f i n i t a t e
pornograf	p o r n o ɡ r a f
homosexualului	h o m o s e k s u a l u l u j
numiților	n u m i t͡s i l o r
fui	f u j
examen	e ɡ z a m e n
apocalipticilor	a p o k a l i p t i t͡ʃ i l o r
oprești	o p r e ʃ tʲ
pădure	p ə d u ɾ e
sunetului	s u n e t u l uʲ
misteriosului	m i s t e r i o s u l u j
șopteam	ʃ o p t j a m
amsterdam	a m s t e r d a m
întăream	ɨ n t ə r j a m
demon	d e m o n
excavaserăți	e k s k a v a s e r ə t sʲ
umanitate	u m a n i t a t e
fut	f u t
analizaserăm	a n a l i z a s e r ə m
piele	p j e l e
găsim	ɡ ə s i m
poate	p o̯ a t e
urinaserăm	u r i n a s e r ə m
pilotând	p i l o t a ɨ n d
visătoare	v i s ə t w a r e
dușmăniseră	d u ʃ m ə n i s e r ə
hamac	h a m a k
misterioși	m i s t e r i o ʃʲ
gravitaseși	ɡ r a v i t a s e ʃʲ
deja	d e ʒ a
pregătesc	p r e ɡ ə t e s k
băiețelul	b ə j e t͡s e l u l
veștejitului	v e ʃ t e ʒ i t u l u j
convinse	k o n v i n s e
mănuși	m ə n u ʃʲ
foaie	f o̯ a j e
înzestrați	ɨ n z e s t r a t͡sʲ
crearăți	k r e a r ə t sʲ
catarg	k a t a r ɡ
dorinței	d o r i n t͡s e j
dușmăneai	d u ʃ m ə n j a j
torturaseră	t o r t u r a s e r ə
asurzite	a s u r z i t e
veți	v e t͡sʲ
veștejești	v e ʃ t e ʒ e ʃ tʲ
sacri	s a k r i
porți	p o r t sʲ
primiseră	p r i m i s e r ə
somaseră	s o m a s e r ə
necăjiților	n e k ə ʒ i t͡s i l o r
sinistre	s i n i s t r e
delimiteze	d e l i m i t e z e
supseserăm	s u p s e s e r ə m
vedea	v e d e̯ a
fute	f u t e
grăbiși	ɡ r ə b i ʃʲ
ejaculație	e ʒ a k u l a t͡s i e
eroticul	e r o t i k u
soț	s o t s
rădaște	r ə d a ʃ t e
genetică	d͡ʒ e n e t i k ə
asurzitul	a s u r z i t u l
întărește	ɨ n t ə r e ʃ t e
dansat	d a n s a t
boașelor	b o̯ a ʃ e l o ɾ
macabru	m a k a b r u
promisiune	p r o m i s i u n e
oameni	o̯ a m e nʲ
mihai	m i h a j
dumnezeu	d u m n e z e w
analogie	a n a l o d͡ʒ i e
delirarăți	d e l i r a r ə t͡sʲ
sodomizatului	s o d o m i z a t u l u j
armăsari	a r m ə s a rʲ
perfectarăm	p e r f e k t a r ə m
urinaserăți	u r i n a s e r ə t sʲ
veștejirăți	v e ʃ t e ʒ i r ə t͡sʲ
tatuajele	t a t u a ʒ e l e
mâncă	m ɨ n k ə
salturi	s a l t u rʲ
creez	k r e e z
tatuați	t a t u a t͡sʲ
onestitate	o n e s t i t a t e
dușmănea	d u ʃ m ə n j a
masturbatei	m a s t u r b a t e j
câmpina	k ɨ̯ m p i n a
grăbiseși	ɡ r ə b i s e ʃʲ
cream	k r e a m
protejaserăm	p r o t e ʒ a s e r ə m
cilibia	t ʃ i l i b i a
sodomizam	s o d o m i z a m
apocaliptică	a p o k a l i p t i k ə
călătoreați	k ə l ə t o r j a t sʲ
sperma	s p e r m a
întâlnite	ɨ n t ɨ l n i t e
perfectasem	p e r f e k t a s e m
distrând	d i s t r ɨ n d
șantajiștilor	ʃ a n t a ʒ i ʃ t i l o r
sodomist	s o d o m i s t
grăbise	ɡ r ə b i s e
călătoritele	k ə l ə t o r i t e l e
complexitate	k o m p l e k s i t a t e
dragostea	d r a ɡ o s t e̯ a
înjurătură	ɨ n ʒ u r ə t u r ə
narcotică	n a ɾ k o t i k ə
reginei	r e d͡ʒ i n e j
omniprezenți	o m n i p r e z e n t͡sʲ
frumusețile	f r u m u s e t s i l e
somezi	s o m e zʲ
prevesti	p r e v e s t i
vodcă	v o d k ə
urinau	u r i n a w
înzestrasem	ɨ n z e s t r a s e m
porniții	p o r n i t͡s iː
abandoneze	a b a n d o n e z e
pungă	p u n ɡ ə
necăjiseră	n e k ə ʒ i s e r ə
persefona	p e r s e f o n a
cioculescu	t ʃ o k u l e s k u
bineînțeles	b i n e ɨ n t s e l e s
îmbunătățise	ɨ m b u n ə t ə t s i s e
tatuaserăm	t a t u a s e r ə m
copleșitorului	k o p l e ʃ i t o r u l u j
analiza	a n a l i z a
întâlniții	ɨ n t ɨ l n i t͡s iː
grăbește	ɡ r ə b e ʃ t e
amarilisul	a m a r i l i s u l
numită	n u m i t ə
ție	t s i e
frecai	f r e k a j
mâncat	m ɨ n k a t
abilă	a b i l ə
pornitelor	p o r n i t e l o r
pregătitul	p r e ɡ ə t i t u
mica	m i k a
dac	d a k
capitula	k a p i t u l a
numisem	n u m i s e m
necunoscut	n e k u n o s k u t
veștejească	v e ʃ t e ʒ e̯ a s k ə
fundamentale	f u n d a m e n t a l e
sodomiză	s o d o m i z ə
ejaculez	e ʒ a k u l e z
pregătita	p r e ɡ ə t i t a
fumaseși	f u m a s e ʃʲ
evoluție	e v o l u t s i e
zăpușitei	z ə p u ʃ i t e j
linguri	l i ŋ ɡ u rʲ
sfârșitei	s f ɨ r ʃ i t e j
formarăm	f o r m a r ə m
stimulează	s t i m u l j a z ə
mâncaseși	m ɨ n k a s e ʃʲ
lipsiților	l i p s i t͡s i l o r
funcționară	f u n k t͡s i o n a r ə
sămânță	s ə m ɨ n t s ə
sodomizaților	s o d o m i z a t͡s i l o r
năluceau	n ə l u t ʃ j a w
primi	p r i m i
alfabetele	a l f a b e t e l e
franța	f r a n t͡s a
răpitelor	r ə p i t e l o r
legământ	l e ɡ ə m ɨ n t
înzestraserăm	ɨ n z e s t r a s e r ə m
excavași	e k s k a v a ʃʲ
pornirăm	p o r n i r ə m
sugă	s u ɡ ə
scrotalilor	s k r o t a l i l o r
grăbiserăți	ɡ r ə b i s e r ə t sʲ
sângerați	s ɨ n d͡ʒ e r a t͡sʲ
folosirăm	f o l o s i r ə m
înțelegi	ɨ n t͡s e l e d͡ʒʲ
numerele	n u m e r e l e
dușmănești	d u ʃ m ə n e ʃ tʲ
fiindcă	f iː ŋ k ə
delimitau	d e l i m i t a w
copleșitorii	k o p l e ʃ i t o r iː
abandonați	a b a n d o n a t sʲ
gravitarăm	ɡ r a v i t a r ə m
fumez	f u m e z
aceleiași	a t͡ʃ e l e j a ʃʲ
purta	p u r t a
lipsească	l i p s j a s k ə
întăreați	ɨ n t ə r j a t sʲ
perineale	p e r i n e a l e
opritul	o p r i t u l
interacțiune	i n t e r a k t s i u n e
limitară	l i m i t a r ə
stimulai	s t i m u l a j
copleșitoarelor	k o p l e ʃ i t o̯ a r e l o r
cântărețelor	k ɨ n t ə r e t͡s e l o r
susurare	s u s u r a r e
numitul	n u m i t u
tricot	t r i k o t
lipseau	l i p s j a w
plictisitei	p l i k t i s i t e j
frumoșii	f r u m o ʃ i j
stimulă	s t i m u l ə
formez	f o r m e z
studie	s t u d j e
chișinău	k i ʃ i n ə u̯
răpita	r ə p i t a
cânta	k ɨ n t a
excavând	e k s k a v ɨ n d
copilul	k o p i l u l
orientând	o r i e n t ɨ n d
ejacularăm	e ʒ a k u l a r ə m
șantajiștii	ʃ a n t a ʒ i ʃ t iː
române	r o m ɨ n e
comport	k o m p o r t
motive	m o t i v e
sodomizai	s o d o m i z a j
deranjaseră	d e r a n ʒ a s e r ə
felația	f e l a t s i a
urinași	u r i n a ʃʲ
scrotalii	s k r o t a l iː
tatuajul	t a t u a ʒ u l
frunză	f r u n z ə
gravitând	ɡ r a v i t ɨ n d
sorii	s o r iʲ
tre	t r e
dușmănii	d u ʃ m ə n iː
întâlnirăm	ɨ n t ɨ l n i r ə m
exemplului	e ɡ z e m p l u l u i
plictiseați	p l i k t i s j a t sʲ
abile	a b i l e
agent	a d ʒ e n t
evlaviilor	e v l a v iː l o r
pizdă	p i z d ə
acestora	a t͡ʃ e s t o r a
delimită	d e l i m i t ə
dorina	d o r i n a
paradoxul	p a r a d o k s u
vorbii	v o r b iː
huligan	h u l i ɡ a n
spovediseră	s p o v e d i s e r ə
spovedite	s p o v e d i t e
articol	a r t i k o l
danezi	d a n e zʲ
rochie	r o k i e
întăriși	ɨ n t ə r i ʃʲ
delicioase	d e l i t͡ʃ j o̯ a s e
totalitate	t o t a l i t a t e
acid	a t͡ʃ i d
ușilor	u ʃ i l o r
sorilor	s o r i l o r
regii	r e d͡ʒ iː
abandonând	a b a n d o n ɨ n d
făcuse	f ə k u s e
pornitului	p o r n i t u l u j
risca	r i s k a
începe	ɨ n t ʃ e p e
cenzură	t͡ʃ e n z u r ə
formam	f o r m a m
torturară	t o r t u r a r ə
întâlnită	ɨ n t ɨ l n i t ə
promisiuni	p r o m i s i u nʲ
îmbunătății	ɨ m b u n ə t ə t s iː
mărturisitul	m ə r t u r i s i t u
citește	t ʃ i t e ʃ t e
limitaseră	l i m i t a s e r ə
citita	t͡ʃ i t i t a
noapte	n o̯ a p t e
sfânta	s f ɨ n t a
oprii	o p r iː
controleze	k o n t r o l e z e
gândiși	ɡ ɨ n d i ʃʲ
pilotăm	p i l o t a ə m
înzestră	ɨ n z e s t r ə
oceania	o t ʃ e̯ a n i a
nup	n u p
gravitam	ɡ r a v i t a m
băiat	b ə j a t
juiseze	ʒ u i s ə z e
cărticică	k ɘ̯ ʳ t i t͡ʃ i k ə
sângerează	s ɨ n d͡ʒ e r j a z ə
eu	j o
ceai	t ʃ a j
cenzurăm	t͡ʃ e n z u r ə m
iubiți	j u b i t͡sʲ
îmbunătățitului	ɨ m b u n ə t ə t͡s i t u l u j
reintroduce	r e i n t r o d u t ʃ e
supseși	s u p s e ʃʲ
sufletul	s u f l e t u
anormalitate	a n o r m a l i t a t e
pornografică	p o r n o ɡ r a f i k ə
cartofi	k a r t o fʲ
gravitai	ɡ r a v i t a j
sufletului	s u f l e t u l u j
mâncarăți	m ɨ n k a r ə t͡sʲ
vorbiși	v o r b i ʃʲ
veștejitei	v e ʃ t e ʒ i t e j
pilotat	p i l o t a a t
taților	t a t͡s i l o r
funcționă	f u n k t͡s i o n ə
găsește	ɡ ə s e ʃ t e
necăjim	n e k ə ʒ i m
sfârșit	s f ɨ r ʃ i t
creaserăți	k r e a s e r ə t sʲ
cetățence	t͡ʃ e t ə t͡s e n t͡ʃ e
găsească	ɡ ə s j a s k ə
gravitași	ɡ r a v i t a ʃʲ
mănânci	m ə n ɨ n t͡ʃʲ
mulțumi	m u l t͡s u m i
limitând	l i m i t ɨ n d
coastă	k w a s t ə
zăpușitul	z ə p u ʃ i t u
întristași	ɨ n t r i s t a ʃʲ
copleșitoarea	k o p l e ʃ i t o̯ a r e̯ a
șal	ʃ a l
realitate	r e a l i t a t e
îmbunătățiserăți	ɨ m b u n ə t ə t s i s e r ə t sʲ
cititelor	t͡ʃ i t i t e l o r
frumosul	f r u m o s u l
făceai	f ə t͡ʃ e̯ a j
beata	b e̯ a t a
anatomie	a n a t o m i e
mâncaseră	m ɨ n k a s e r ə
spovedim	s p o v e d i m
lipsiși	l i p s i ʃʲ
năluci	n ə l u t ʃ i
făcurăți	f ə k u r ə t͡sʲ
ataraxio	a t a r a k s i o
călătorind	k ə l ə t o r i n d
ferocitate	f e r o t͡ʃ i t a t e
masturbai	m a s t u r b a j
juisăm	ʒ u i s ə m
îmbunătățeam	ɨ m b u n ə t ə t s j a m
circumcise	t͡ʃ i r k u m t͡ʃ i s e
ceruse	t͡ʃ e r u s e
grăbiților	ɡ r ə b i t͡s i l o r
veștejiși	v e ʃ t e ʒ i ʃʲ
mulțumiră	m u l t s u m i r ə
afgan	a f ɡ a n
futui	f u t uʲ
frumoase	f r u m o̯ a s e
dorințelor	d o r i n t͡s e l o r
analizai	a n a l i z a j
pornografici	p o r n o ɡ r a f i t͡ʃʲ
seduci	s e d u t͡ʃʲ
babe	b a b e
sfârșitului	s f ɨ r ʃ i t u l u j
spovediserăți	s p o v e d i s e r ə t sʲ
ejaculator	e ʒ a k u l a t o r
tații	t a t͡s iʲ
soțul	s o t͡s u l
apetisant	a p e t i s a n t
afinitate	a f i n i t a t e
vagine	v a d͡ʒ i n e
