あば	a̠ b a̠
ぼせき	b o̞ s e̞ kʲ i
ぼたい	b o̞ t a̠ i
ぼたん	b o̞ t ã̠ ɴ
ぼれい	b o̞ ɾ e̞ː
ぼしょ	b o̞ ɕ o̞
ぼうど	b o̞ː d o̞
ぼんぷ	b õ̞ m p ɯ̟ᵝ
ぼうと	b o̞ː t o̞
ぼうが	b o̞ː ɡ a̠
ぼんご	b õ̞ ŋ ɡ o̞
ぶぶん	b ɯ̟ᵝ b ɯ̟̃ᵝ ɴ
ぶひん	b ɯ̟ᵝ ç ĩ ɴ
ぶどう	b ɯ̟ᵝ d o̞ː
ぶかい	b ɯ̟ᵝ k a̠ i
ぶかつ	b ɯ̟ᵝ k a̠ t͡s ɨᵝ
ぶかん	b ɯ̟ᵝ k ã̠ ɴ
ぶなん	b ɯ̟ᵝ n ã̠ ɴ
ぶさた	b ɯ̟ᵝ s a̠ t a̠
ぶつだ	b ɯ̟ᵝ t͡s ɨᵝ d a̠
ぶらい	b ɯ̟ᵝ ɾ a̠ i
ぶれい	b ɯ̟ᵝ ɾ e̞ː
ぶしつ	b ɯ̟ᵝ ɕ i t͡s ɨᵝ
ぶじん	b ɯ̟ᵝ ʑ ĩ ɴ
ぶしょ	b ɯ̟ᵝ ɕ o̞
ぶごう	b ɯ̟ᵝ ɡ o̞ː
ぶっし	b ɯ̟ᵝ ɕː i
ぶんか	b ɯ̟̃ᵝ ŋ k a̠
ぶんこ	b ɯ̟̃ᵝ ŋ k o̞
ぶんご	b ɯ̟̃ᵝ ŋ ɡ o̞
ぶんし	b ɯ̟̃ᵝ ɰ̃ ɕ i
びぶん	bʲ i b ɯ̟̃ᵝ ɴ
びどう	bʲ i d o̞ː
びやく	bʲ i j a̠ k ɯ̟ᵝ
びこう	bʲ i k o̞ː
びくに	bʲ i k ɯ̟ᵝ ɲ̟ i
びっこ	bʲ i k̚ k o̞
びもく	bʲ i m o̞ k ɯ̟ᵝ
びとく	bʲ i t o̞ k ɯ̟ᵝ
びつい	bʲ i t͡s ɨᵝ i
びちく	bʲ i t͡ɕ i k ɯ̟ᵝ
びがく	bʲ i ɡ a̠ k ɯ̟ᵝ
びじん	bʲ i ʑ ĩ ɴ
びじょ	bʲ i ʑ o̞
びろう	bʲ i ɾ o̞ː
びりょ	bʲ i ɾʲ o̞
びょう	bʲ o̞ː
ひゃく	ç a̠ k ɯ̟ᵝ
ひあり	ç i a̠ ɾʲ i
ひだつ	ç i d a̠ t͡s ɨᵝ
ひでり	ç i d e r i
ひでき	ç i d e̞ kʲ i
ひでん	ç i d ẽ̞ ɴ
ひどり	ç i d o̞ ɾʲ i
ひどう	ç i d o̞ː
ひほう	ç i h o̞ː
ひよけ	ç i j o̞ k e̞
ひよこ	ç i j o̞ k o̞
ひより	ç i j o̞ ɾʲ i
ひかさ	ç i k a̠ s a̠
ひかん	ç i k ã̠ ɴ
ひこく	ç i k o̞ k ɯ̟ᵝ
ひくい	ç i k ɯ̟ᵝ i
ひまつ	ç i m a̠ t͡s ɨᵝ
ひまん	ç i m ã̠ ɴ
ひめい	ç i m e̞ː
ひもの	ç i m o̞ n o̞
ひみつ	ç i mʲ i t͡s ɨᵝ
ひので	ç i n o̞ d e̞
ひのえ	ç i n o̞ e̞
ひのき	ç i n o̞ kʲ i̥
ひすい	ç i s ɨᵝ i
ひっす	ç i sː ɯ̟ᵝ
ひてい	ç i t e̞ː
ひとよ	ç i t o̞ j o̞
ひとめ	ç i t o̞ m e̞
ひとし	ç i t o̞ ɕ i
ひとう	ç i t o̞ː
ひつぎ	ç i t͡s ɨᵝ ɡʲ i
ひちら	ç i t͡ɕ i ɾ a̠
ひぞう	ç i z oː
ひがい	ç i ɡ a̠ i
ひらめ	ç i ɾ a̠ m e̞
ひらち	ç i ɾ a̠ t͡ɕ i
ひがら	ç i ɡ a̠ ɾ a̠
あずま	ç i ɡ a̠ ɕ i
ひれい	ç i ɾ e̞ː
ひろみ	ç i ɾ o̞ mʲ i
ひろお	ç i ɾ o̞ː
ひしゅ	ç i ɕ ɨᵝ
ひるい	ç i ɾ ɯ̟ᵝ i
ひふく	ç i ɸ ɯ̟ᵝ k ɯ̟ᵝ
ひぐま	ç i ɡ ɯ̟ᵝ m a̠
ひるま	ç i ɾ ɯ̟ᵝ m a̠
ひぐち	ç i ɡ ɯ̟ᵝ t͡ɕ i
ひりき	ç i ɾʲ i kʲ i
ひうち	ç i ɯ̟ᵝ t͡ɕ i
ひうん	ç i ɯ̟̃ᵝ ɴ
ひはん	ç i̥ h ã̠ ɴ
ひけつ	ç i̥ k e̞ t͡s ɨᵝ
ひんぷ	ç ĩ m p ɯ̟ᵝ
ひいな	ç iː n a̠
ひとえ	ç i̥ t o̞ e̞
ひとけ	ç i̥ t o̞ k e̞
ひとり	ç i̥ t o̞ ɾʲ i
ひんし	ç ĩ ɰ̃ ɕ i
だえん	d a̠ ẽ̞ ɴ
だいぼ	d a̠ i b o̞
だいす	d a̠ i s ɨᵝ
だいち	d a̠ i t͡ɕ i
だいし	d a̠ i ɕ i
だいふ	d a̠ i ɸ ɯ̟ᵝ
だいわ	d a̠ i ɰᵝ a̠
だけん	d a̠ k ẽ̞ ɴ
だくひ	d a̠ k ɯ̟ᵝ ç i
だっこ	d a̠ k̚ k o̞
ださい	d a̠ s a̠ i
だそく	d a̠ s o̞ k ɯ̟ᵝ
だつじ	d a̠ t͡s ɨᵝ ʑ i
だしゃ	d a̠ ɕ a̠
だらく	d a̠ ɾ a̠ k ɯ̟ᵝ
だらに	d a̠ ɾ a̠ ɲ̟ i
だれか	d a̠ ɾ e̞ k a̠
だれも	d a̠ ɾ e̞ m o̞
だしん	d a̠ ɕ ĩ ɴ
だるま	d a̠ ɾ ɯ̟ᵝ m a̠
だりつ	d a̠ ɾʲ i t͡s ɨᵝ
だんち	d ã̠ ɲ̟ t͡ɕ i
だんし	d ã̠ ɰ̃ ɕ i
であい	d e̞ a̠ i
でばん	d e̞ b ã̠ ɴ
でいり	d e̞ i ɾʲ i
でかす	d e̞ k a̠ s ɨᵝ
でまえ	d e̞ m a̠ e̞
でっぱ	d e̞ p̚ p a̠
でんぱ	d ẽ̞ m p a̠
でんか	d ẽ̞ ŋ k a̠
でんち	d ẽ̞ ɲ̟ t͡ɕ i
どあい	d o̞ a̠ i
どべい	d o̞ b e̞ː
どぼく	d o̞ b o̞ k ɯ̟ᵝ
どよう	d o̞ j o̞ː
どくそ	d o̞ k ɯ̟̊ᵝ s o̞
どせい	d o̞ s e̞ː
どそく	d o̞ s o̞ k ɯ̟ᵝ
どてら	d o̞ t e̞ ɾ a̠
どとう	d o̞ t o̞ː
どしゃ	d o̞ ɕ a̠
どげざ	d o̞ ɡ e̞ z a̠
どれい	d o̞ ɾ e̞ː
ぬれい	d o̞ ɾ e̞ː
どろん	d o̞ ɾ õ̞ ɴ
どぐう	d o̞ ɡ ɯ̟ᵝː
どうい	d o̞ː i
どうか	d o̞ː k a̠
どうけ	d o̞ː k e̞
どうき	d o̞ː kʲ i
どうも	d o̞ː m o̞
どうせ	d o̞ː s e̞
どうが	d o̞ː ɡ a̠
どうし	d o̞ː ɕ i
どうじ	d o̞ː ʑ i
どうろ	d o̞ː ɾ o̞
どんが	d õ̞ ŋ ɡ a̠
どうわ	d o̞ː ɰᵝ a̠
どうり	d o̞ː ɾʲ i
どんき	d õ̞ ŋʲ kʲ i
じやき	d ʑ i j a k i
ざほう	d͡z a̠ h o̞ː
ざこね	d͡z a̠ k o̞ n e̞
ざこつ	d͡z a̠ k o̞ t͡s ɨᵝ
ざせき	d͡z a̠ s e̞ kʲ i
ざそう	d͡z a̠ s o̞ː
ざとう	d͡z a̠ t o̞ː
ざった	d͡z a̠ t̚ t a̠
ざっと	d͡z a̠ t̚ t o̞
ざぜん	d͡z a̠ z ẽ̞ ɴ
ざがね	d͡z a̠ ɡ a̠ n e̞
ざれる	d͡z a̠ ɾ e̞ ɾ ɯ̟ᵝ
ざしき	d͡z a̠ ɕ i kʲ i
ざっし	d͡z a̠ ɕː i
ざんか	d͡z ã̠ ŋ k a̠
ぜげん	d͡z e̞ ɡ ẽ̞ ɴ
ぜんぶ	d͡z ẽ̞ m b ɯ̟ᵝ
ぜんど	d͡z ẽ̞ n d o̞
ぜんい	d͡z ẽ̞ ɰ̃ i
ぜんや	d͡z ẽ̞ ɰ̃ j a̠
ぜんき	d͡z ẽ̞ ŋʲ kʲ i
ぜんせ	d͡z ẽ̞ ɰ̃ s e̞
ぜんち	d͡z ẽ̞ ɲ̟ t͡ɕ i
ぜんし	d͡z ẽ̞ ɰ̃ ɕ i
まえば	d͡z ẽ̞ ɰ̃ ɕ i
ぜんぎ	d͡z ẽ̞ ŋʲ ɡʲ i
ぞくす	d͡z o̞ k ɯ̟ᵝ s ɨᵝ
ぞくわ	d͡z o̞ k ɯ̟ᵝ ɰᵝ a̠
ぞっき	d͡z o̞ k̚ʲ kʲ i
ぞっけ	d͡z o̞ k̚ʲ kʲ i
ぞろめ	d͡z o̞ ɾ o̞ m e̞
ぞうき	d͡z o̞ː kʲ i
ぞうげ	d͡z o̞ː ɡ e̞
ぞうご	d͡z o̞ː ɡ o̞
ぞうろ	d͡z o̞ː ɾ o̞
ぞうに	d͡z o̞ː ɲ̟ i
ずあん	d͡z ɨᵝ ã̠ ɴ
ずばり	d͡z ɨᵝ b a̠ ɾʲ i
ずぼら	d͡z ɨᵝ b o̞ ɾ a̠
ずぼし	d͡z ɨᵝ b o̞ ɕ i
ずいじ	d͡z ɨᵝ i ʑ i
ずかい	d͡z ɨᵝ k a̠ i
ずけい	d͡z ɨᵝ k e̞ː
ずきん	d͡z ɨᵝ kʲ ĩ ɴ
ずのう	d͡z ɨᵝ n o̞ː
ずさん	d͡z ɨᵝ s ã̠ ɴ
ずっと	d͡z ɨᵝ t̚ t o̞
ずつう	d͡z ɨᵝ t͡s ɨᵝː
じゅず	d͡z ɨᵝ z ɨᵝ
ずがい	d͡z ɨᵝ ɡ a̠ i
ずしき	d͡z ɨᵝ ɕ i̥ kʲ i
ずろく	d͡z ɨᵝ ɾ o̞ k ɯ̟ᵝ
ずろう	d͡z ɨᵝ ɾ o̞ː
じゃひ	d͡ʑ a̠ bʲ i
じゃけ	d͡ʑ a̠ k e̞
じゃま	d͡ʑ a̠ m a̠
じゃり	d͡ʑ a̠ ɾʲ i
じぶん	d͡ʑ i b ɯ̟̃ᵝ ɴ
じびか	d͡ʑ i bʲ i k a̠
じびき	d͡ʑ i bʲ i kʲ i
じだい	d͡ʑ i d a̠ i
じでん	d͡ʑ i d ẽ̞ ɴ
じどり	d͡ʑ i d o̞ ɾʲ i
じえい	d͡ʑ i e̞ː
じへい	d͡ʑ i h e̞ː
じゆう	d͡ʑ i j ɯ̟ᵝː
じけい	d͡ʑ i k e̞ː
じけん	d͡ʑ i k ẽ̞ ɴ
じこく	d͡ʑ i k o̞ k ɯ̟ᵝ
じこう	d͡ʑ i k o̞ː
じっき	d͡ʑ i k̚ʲ kʲ i
じまく	d͡ʑ i m a̠ k ɯ̟ᵝ
じまん	d͡ʑ i m ã̠ ɴ
じめつ	d͡ʑ i m e̞ t͡s ɨᵝ
じめん	d͡ʑ i m ẽ̞ ɴ
じもん	d͡ʑ i m õ̞ ɴ
じおん	d͡ʑ i õ̞ ɴ
じさつ	d͡ʑ i s a̠ t͡s ɨᵝ
じすい	d͡ʑ i s ɨᵝ i
じたい	d͡ʑ i t a̠ i
じてん	d͡ʑ i t ẽ̞ ɴ
じっと	d͡ʑ i t̚ t o̞
じちき	d͡ʑ i t͡ɕ i kʲ i
じぞく	d͡ʑ i z o̞ k ɯ̟ᵝ
じぞう	d͡ʑ i z o̞ː
じしゃ	d͡ʑ i ɕ a̠
じらい	d͡ʑ i ɾ a̠ i
じじつ	d͡ʑ i ʑ i t͡s ɨᵝ
じしょ	d͡ʑ i ɕ o̞
じろん	d͡ʑ i ɾ õ̞ ɴ
じしゅ	d͡ʑ i ɕ ɨᵝ
じじゅ	d͡ʑ i ʑ ɨᵝ
じぐん	d͡ʑ i ɡ ɯ̟̃ᵝ ɴ
じりつ	d͡ʑ i ɾʲ i t͡s ɨᵝ
じにん	d͡ʑ i ɲ̟ ĩ ɴ
じりん	d͡ʑ i ɾʲ ĩ ɴ
じんば	d͡ʑ ĩ m b a̠
じんこ	d͡ʑ ĩ ŋ k o̞
じんじ	d͡ʑ ĩ ɲ̟ d͡ʑ i
じんち	d͡ʑ ĩ ɲ̟ t͡ɕ i
じんわ	d͡ʑ ĩ ɰ̃ ɰᵝ a̠
じょい	d͡ʑ o̞ i
じょし	d͡ʑ o̞ ɕ i
うわて	d͡ʑ o̞ː t e̞
じゅよ	d͡ʑ ɨᵝ j o̞
じゅか	d͡ʑ ɨᵝ k a̠
じゅつ	d͡ʑ ɨᵝ t͡s ɨᵝ
じゅふ	d͡ʑ ɨᵝ ɸ ɯ̟ᵝ
えぼし	e̞ b o̞ ɕ i
がこう	e̞ d a̠ k ɯ̟ᵝ mʲ i
えかき	e̞ k a̠ kʲ i
えもじ	e̞ m o̞ ʑ i
えもん	e̞ m õ̞ ɴ
えみし	e̞ mʲ i ɕ i
えなが	e̞ n a̠ ɡ a̠
えたい	e̞ t a̠ i
えつご	e̞ t͡s ɨᵝ ɡ o̞
えがお	e̞ ɡ a̠ o̞
えごま	e̞ ɡ o̞ m a̠
えりか	e̞ ɾʲ i k a̠
えいよ	e̞ː j o̞
えいこ	e̞ː k o̞
えいき	e̞ː kʲ i
えんむ	ẽ̞ mː ɯ̟ᵝ
ええと	e̞ː t o̞
えいが	e̞ː ɡ a̠
えいご	e̞ː ɡ o̞
えんげ	ẽ̞ ŋ ɡ e̞
えんき	ẽ̞ ŋʲ kʲ i
えんそ	ẽ̞ ɰ̃ s o̞
えんし	ẽ̞ ɰ̃ ɕ i
えんぎ	ẽ̞ ŋʲ ɡʲ i
えいん	ẽ̞ː ɴ
はばつ	h a̠ b a̠ t͡s ɨᵝ
はばち	h a̠ b a̠ t͡ɕ i
はぶる	h a̠ b ɯ̟ᵝ ɾ ɯ̟ᵝ
はだか	h a̠ d a̠ k a̠
はだし	h a̠ d a̠ ɕ i
はだぎ	h a̠ d a̠ ɡʲ i
はだん	h a̠ d ã̠ ɴ
はえざ	h a̠ e̞ z a̠
はへん	h a̠ h ẽ̞ ɴ
はいび	h a̠ i bʲ i
はいく	h a̠ i k ɯ̟ᵝ
はいき	h a̠ i kʲ i
はいち	h a̠ i t͡ɕ i
はいが	h a̠ i ɡ a̠
はいし	h a̠ i ɕ i
はいろ	h a̠ i ɾ o̞
はやく	h a̠ j a̠ k ɯ̟ᵝ
はやね	h a̠ j a̠ n e̞
はやし	h a̠ j a̠ ɕ i
はかば	h a̠ k a̠ b a̠
はかい	h a̠ k a̠ i
はかく	h a̠ k a̠ k ɯ̟ᵝ
はかま	h a̠ k a̠ m a̠
はかせ	h a̠ k a̠ s e̞
はかた	h a̠ k a̠ t a̠
はかち	h a̠ k a̠ t͡ɕ i
はかり	h a̠ k a̠ ɾʲ i
はけん	h a̠ k ẽ̞ ɴ
はこべ	h a̠ k o̞ b e̞
はくあ	h a̠ k ɯ̟ᵝ a̠
はくぼ	h a̠ k ɯ̟ᵝ b o̞
はくど	h a̠ k ɯ̟ᵝ d o̞
はくい	h a̠ k ɯ̟ᵝ i
はくが	h a̠ k ɯ̟ᵝ ɡ a̠
しらは	h a̠ k ɯ̟ᵝ ʑ ĩ ɴ
はくり	h a̠ k ɯ̟ᵝ ɾʲ i
はくし	h a̠ k ɯ̟̊ᵝ ɕ i
はきけ	h a̠ kʲ i̥ k e̞
はっけ	h a̠ k̚ k e̞
はっき	h a̠ k̚ʲ kʲ i
はまや	h a̠ m a̠ j a̠
はまき	h a̠ m a̠ kʲ i
はまち	h a̠ m a̠ t͡ɕ i
はまし	h a̠ m a̠ ɕ i
はなや	h a̠ n a̠ j a̠
はなみ	h a̠ n a̠ mʲ i
はなわ	h a̠ n a̠ w͍ a
はなし	h a̠ n a̠ ɕ i
はなぢ	h a̠ n a̠ ʑ i
はおり	h a̠ o̞ ɾʲ i
はさき	h a̠ s a̠ kʲ i
はさみ	h a̠ s a̠ mʲ i
はさん	h a̠ s ã̠ ɴ
はせい	h a̠ s e̞ː
はそく	h a̠ s o̞ k ɯ̟ᵝ
はそん	h a̠ s õ̞ ɴ
はすう	h a̠ s ɨᵝː
はたけ	h a̠ t a̠ k e̞
はたき	h a̠ t a̠ kʲ i
はたん	h a̠ t ã̠ ɴ
はとば	h a̠ t o̞ b a̠
はつが	h a̠ t͡s ɨᵝ ɡ a̠
はちす	h a̠ t͡ɕ i s ɨᵝ
はざま	h a̠ z a̠ m a̠
はずい	h a̠ z ɨᵝ i
はづき	h a̠ z ɨᵝ kʲ i
はしゃ	h a̠ ɕ a̠
はらい	h a̠ ɾ a̠ i
はがき	h a̠ ɡ a̠ kʲ i
はらす	h a̠ ɾ a̠ s ɨᵝ
はらう	h a̠ ɾ a̠ ɯ̟ᵝ
はれぎ	h a̠ ɾ e̞ ɡʲ i
はしだ	h a̠ ɕ i d a̠
はじき	h a̠ ʑ i kʲ i
はじめ	h a̠ ʑ i m e̞
はしご	h a̠ ɕ i ɡ o̞
はしり	h a̠ ɕ i ɾʲ i
はしか	h a̠ ɕ i̥ k a̠
はろう	h a̠ ɾ o̞ː
はるか	h a̠ ɾ ɯ̟ᵝ k a̠
はるき	h a̠ ɾ ɯ̟ᵝ kʲ i
はるみ	h a̠ ɾ ɯ̟ᵝ mʲ i
はるな	h a̠ ɾ ɯ̟ᵝ n a̠
はるお	h a̠ ɾ ɯ̟ᵝ o̞
はあく	h a̠ː k ɯ̟ᵝ
はんぷ	h ã̠ m p ɯ̟ᵝ
はんこ	h ã̠ ŋ k o̞
はんが	h ã̠ ŋ ɡ a̠
はんい	h ã̠ ɰ̃ i
へきが	h e̞ kʲ i ɡ a̠
へたる	h e̞ t a̠ ɾ ɯ̟ᵝ
へちま	h e̞ t͡ɕ i m a̠
へいか	h e̞ː k a̠
へいき	h e̞ː kʲ i
へいち	h e̞ː t͡ɕ i
へいし	h e̞ː ɕ i
へいじ	h e̞ː ʑ i
へんか	h ẽ̞ ŋ k a̠
ほんぐ	h o n ɡ u
ほひつ	h o̞ ç i t͡s ɨᵝ
ほだし	h o̞ d a̠ ɕ i
ほはば	h o̞ h a̠ b a̠
ほかん	h o̞ k ã̠ ɴ
ほけつ	h o̞ k e̞ t͡s ɨᵝ
ほこら	h o̞ k o̞ ɾ a̠
ほくと	h o̞ k ɯ̟̊ᵝ t o̞
ほまれ	h o̞ m a̠ ɾ e̞
ほむら	h o̞ m ɯ̟ᵝ ɾ a̠
ほのお	h o̞ n o̞ː
ほおん	h o̞ õ̞ ɴ
ほせつ	h o̞ s e̞ t͡s ɨᵝ
ほせい	h o̞ s e̞ː
ほせん	h o̞ s ẽ̞ ɴ
ほそけ	h o̞ s o̞ k e̞
ほそめ	h o̞ s o̞ m e̞
ほすう	h o̞ s ɨᵝː
ほっさ	h o̞ sː a̠
ほたい	h o̞ t a̠ i
ほたる	h o̞ t a̠ ɾ ɯ̟ᵝ
ほてい	h o̞ t e̞ː
ほてん	h o̞ t ẽ̞ ɴ
ほとけ	h o̞ t o̞ k e̞
ほぜい	h o̞ z e̞ː
ほぞん	h o̞ z õ̞ ɴ
ほしこ	h o̞ ɕ i k o̞
ほうご	h oː ɡ o
ほろり	h o̞ ɾ o̞ ɾʲ i
ほろう	h o̞ ɾ o̞ː
ほうぐ	h oː ɡ u
ほしゅ	h o̞ ɕ ɨᵝ
ほるい	h o̞ ɾ ɯ̟ᵝ i
ほふつ	h o̞ ɸ ɯ̟ᵝ t͡s ɨᵝ
ほふる	h o̞ ɸ ɯ̟ᵝ ɾ ɯ̟ᵝ
ほりょ	h o̞ ɾʲ o̞
ほうひ	h o̞ː ç i
ほうえ	h o̞ː e̞
ほうい	h o̞ː i
ほうこ	h o̞ː k o̞
ほうき	h o̞ː kʲ i
ほんま	h õ̞ mː a̠
ほんだ	h õ̞ n d a̠
ほんね	h õ̞ nː e̞
ほんじ	h õ̞ ɲ̟ d͡ʑ i
ほんや	h õ̞ ɰ̃ j a̠
いばり	i b a̠ ɾʲ i
いぼじ	i b o̞ ʑ i
いびき	i bʲ i kʲ i
いびる	i bʲ i ɾ ɯ̟ᵝ
いひん	i ç ĩ ɴ
いだい	i d a̠ i
いえで	i e̞ d e̞
いえじ	i e̞ ʑ i
いえい	i e̞ː
いはん	i h ã̠ ɴ
いへん	i h ẽ̞ ɴ
いほう	i h o̞ː
いやん	i j ã̠ ɴ
いよく	i j o̞ k ɯ̟ᵝ
いかけ	i k a̠ k e̞
いかが	i k a̠ ɡ a̠
いかる	i k a̠ ɾ ɯ̟ᵝ
いかり	i k a̠ ɾʲ i
いかん	i k ã̠ ɴ
いけい	i k e̞ː
いけん	i k ẽ̞ ɴ
いこう	i k o̞ː
いくさ	i k ɯ̟ᵝ s a̠
いくた	i k ɯ̟ᵝ t a̠
いくつ	i k ɯ̟ᵝ t͡s ɨᵝ
いくじ	i k ɯ̟ᵝ ʑ i
いきか	i kʲ i k a̠
いきじ	i kʲ i ʑ i
いもの	i m o̞ n o̞
いみん	i mʲ ĩ ɴ
いなか	i n a̠ k a̠
いなせ	i n a̠ s e̞
いなご	i n a̠ ɡ o̞
いなり	i n a̠ ɾʲ i
いのち	i n o̞ t͡ɕ i
いのり	i n o̞ ɾʲ i
いぬく	i n ɯ̟ᵝ k ɯ̟ᵝ
いおり	i o̞ ɾʲ i
いおう	i o̞ː
いっぽ	i p̚ p o̞
いっぴ	i p̚ʲ pʲ i
いさい	i s a̠ i
いさく	i s a̠ k ɯ̟ᵝ
いさつ	i s a̠ t͡s ɨᵝ
いせつ	i s e̞ t͡s ɨᵝ
いせん	i s ẽ̞ ɴ
いすゞ	i s ɨᵝ z ɨᵝ
いっそ	i sː o̞
いたで	i t a̠ d e̞
いたい	i t a̠ i
いたん	i t ã̠ ɴ
いてざ	i t e̞ z a̠
いてん	i t ẽ̞ ɴ
いとい	i t o̞ i
いとこ	i t o̞ k o̞
いつか	i t͡s ɨᵝ k a̠
いつき	i t͡s ɨᵝ kʲ i
いつも	i t͡s ɨᵝ m o̞
いつつ	i t͡s ɨᵝ t͡s ɨᵝ
いつわ	i t͡s ɨᵝ ɰᵝ a̠
いちば	i t͡ɕ i b a̠
いちぶ	i t͡ɕ i b ɯ̟ᵝ
いちだ	i t͡ɕ i d a̠
いちい	i t͡ɕ i i
いちや	i t͡ɕ i j a̠
いずみ	i z ɨᵝ mʲ i
いしゃ	i ɕ a̠
いがい	i ɡ a̠ i
いらい	i ɾ a̠ i
いがく	i ɡ a̠ k ɯ̟ᵝ
いがむ	i ɡ a̠ m ɯ̟ᵝ
いれば	i ɾ e̞ b a̠
いげた	i ɡ e̞ t a̠
いしき	i ɕ i̥ kʲ i
いしん	i ɕ ĩ ɴ
いろけ	i ɾ o̞ k e̞
いろこ	i ɾ o̞ k o̞
いごく	i ɡ o̞ k ɯ̟ᵝ
いろり	i ɾ o̞ ɾʲ i
いろう	i ɾ o̞ː
いろん	i ɾ õ̞ ɴ
いるい	i ɾ ɯ̟ᵝ i
いるか	i ɾ ɯ̟ᵝ k a̠
いるす	i ɾ ɯ̟ᵝ s ɨᵝ
いぐち	i ɡ ɯ̟ᵝ t͡ɕ i
いふく	i ɸ ɯ̟̊ᵝ k ɯ̟ᵝ
いわく	i ɰᵝ a̠ k ɯ̟ᵝ
いわお	i ɰᵝ a̠ o̞
いわて	i ɰᵝ a̠ t e̞
いわし	i ɰᵝ a̠ ɕ i
いんむ	ĩ mː ɯ̟ᵝ
いんこ	ĩ ŋ k o̞
いんが	ĩ ŋ ɡ a̠
いんご	ĩ ŋ ɡ o̞
いんぐ	ĩ ŋ ɡ ɯ̟ᵝ
いんち	ĩ ɲ̟ t͡ɕ i
いいん	ĩː ɴ
やどや	j a̠ d o̞ j a̠
やどる	j a̠ d o̞ ɾ ɯ̟ᵝ
やえば	j a̠ e̞ b a̠
やはり	j a̠ h a̠ ɾʲ i
やいば	j a̠ i b a̠
やよい	j a̠ j o̞ i
やよう	j a̠ j o̞ː
やかい	j a̠ k a̠ i
やかん	j a̠ k ã̠ ɴ
やけい	j a̠ k e̞ː
やくご	j a̠ k ɯ̟ᵝ ɡ o̞
やまば	j a̠ m a̠ b a̠
やまい	j a̠ m a̠ i
やまね	j a̠ m a̠ n e̞
やまと	j a̠ m a̠ t o̞
やもめ	j a̠ m o̞ m e̞
やさい	j a̠ s a̠ i
やせん	j a̠ s ẽ̞ ɴ
やすで	j a̠ s ɨᵝ d e̞
やすい	j a̠ s ɨᵝ i
やすみ	j a̠ s ɨᵝ mʲ i
やすと	j a̠ s ɨᵝ t o̞
やとこ	j a̠ t o̞ k o̞
やとう	j a̠ t o̞ː
やつめ	j a̠ t͡s ɨᵝ m e̞
やつお	j a̠ t͡s ɨᵝ o̞
やちん	j a̠ t͡ɕ ĩ ɴ
やしゃ	j a̠ ɕ a̠
やがい	j a̠ ɡ a̠ i
やらい	j a̠ ɾ a̠ i
やがて	j a̠ ɡ a̠ t e̞
やしか	j a̠ ɕ i k a̠
やしき	j a̠ ɕ i̥ kʲ i
やじん	j a̠ ʑ ĩ ɴ
やごう	j a̠ ɡ o̞ː
やろう	j a̠ ɾ o̞ː
やぎざ	j a̠ ɡʲ i z a̠
やんま	j ã̠ mː a̠
よとう	j o t oː
よあけ	j o̞ a̠ k e̞
よあつ	j o̞ a̠ t͡s ɨᵝ
よばい	j o̞ b a̠ i
よぼう	j o̞ b o̞ː
よぶん	j o̞ b ɯ̟̃ᵝ ɴ
よだん	j o̞ d ã̠ ɴ
よやく	j o̞ j a̠ k ɯ̟ᵝ
よかつ	j o̞ k a̠ t͡s ɨᵝ
よかん	j o̞ k ã̠ ɴ
よくい	j o̞ k ɯ̟ᵝ i
よみち	j o̞ mʲ i t͡ɕ i
よなが	j o̞ n a̠ ɡ a̠
よせつ	j o̞ s e̞ t͡s ɨᵝ
よせい	j o̞ s e̞ː
よそく	j o̞ s o̞ k ɯ̟ᵝ
よそめ	j o̞ s o̞ m e̞
よそみ	j o̞ s o̞ mʲ i
よそう	j o̞ s o̞ː
よすが	j o̞ s ɨᵝ ɡ a̠
よたか	j o̞ t a̠ k a̠
よげん	j o̞ ɡ ẽ̞ ɴ
よしき	j o̞ ɕ i kʲ i
よしお	j o̞ ɕ i o̞
よろい	j o̞ ɾ o̞ i
よふけ	j o̞ ɸ ɯ̟ᵝ k e̞
よふね	j o̞ ɸ ɯ̟ᵝ n e̞
よぶね	j o̞ ɸ ɯ̟ᵝ n e̞
よわび	j o̞ ɰᵝ a̠ bʲ i
よにげ	j o̞ ɲ̟ i ɡ e̞
ようび	j o̞ː bʲ i
ようそ	j o̞ː s o̞
ようが	j o̞ː ɡ a̠
ようし	j o̞ː ɕ i
ようじ	j o̞ː ʑ i
ようご	j o̞ː ɡ o̞
ようぐ	j o̞ː ɡ ɯ̟ᵝ
ようふ	j o̞ː ɸ ɯ̟ᵝ
ゆあみ	j ɯ̟ᵝ a̠ mʲ i
ゆばり	j ɯ̟ᵝ b a̠ ɾʲ i
ゆびわ	j ɯ̟ᵝ bʲ i ɰᵝ a̠
ゆだん	j ɯ̟ᵝ d ã̠ ɴ
ゆでん	j ɯ̟ᵝ d ẽ̞ ɴ
ゆえん	j ɯ̟ᵝ ẽ̞ ɴ
ゆかた	j ɯ̟ᵝ k a̠ t a̠
ゆかり	j ɯ̟ᵝ k a̠ ɾʲ i
ゆくえ	j ɯ̟ᵝ k ɯ̟ᵝ e̞
ゆくは	j ɯ̟ᵝ k ɯ̟ᵝ h a̠
